
STATUS | wrapper  | 2016/03/22 21:28:16 | --> Wrapper Started as Console
INFO   | jvm 1    | 2016/03/22 21:28:17 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.WrapperSimpleApp
ERROR  | wrapper  | 2016/03/22 21:28:17 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:28:22 | Launching a JVM...
INFO   | jvm 2    | 2016/03/22 21:28:22 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.WrapperSimpleApp
ERROR  | wrapper  | 2016/03/22 21:28:22 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:28:27 | Launching a JVM...
INFO   | jvm 3    | 2016/03/22 21:28:27 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.WrapperSimpleApp
ERROR  | wrapper  | 2016/03/22 21:28:27 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:28:32 | Launching a JVM...
INFO   | jvm 4    | 2016/03/22 21:28:32 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.WrapperSimpleApp
ERROR  | wrapper  | 2016/03/22 21:28:32 | JVM exited while loading the application.
STATUS | wrapper  | 2016/03/22 21:28:37 | Launching a JVM...
INFO   | jvm 5    | 2016/03/22 21:28:37 | Error: Could not find or load main class org.tanukisoftware.wrapper.test.WrapperSimpleApp
ERROR  | wrapper  | 2016/03/22 21:28:37 | JVM exited while loading the application.
FATAL  | wrapper  | 2016/03/22 21:28:38 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2016/03/22 21:28:38 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2016/03/22 21:28:38 | <-- Wrapper Stopped
STATUS | wrapper  | 2016/03/22 21:31:47 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/03/22 21:31:47 | Java Service Wrapper Standard Edition 64-bit 3.5.29
STATUS | wrapper  | 2016/03/22 21:31:47 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
